,id,popularity,release_date,title,vote_average,vote_count
5924,10330,4.2373,2003-08-05,Freaky Friday,6.577,4201
5925,13667,1.602,1985-08-23,Better Off Dead...,6.6,539
5926,8488,6.7066,2005-02-11,Hitch,6.576,6131
5927,945729,7.1291,2023-09-13,A Haunting in Venice,6.575,2757
5928,92591,1.4084,2012-04-27,Bernie,6.575,1012
5929,12079,2.1755,2003-02-07,Spun,6.575,504
5930,532938,0.6469,2019-05-08,The Shiny Shrimps,6.574,459
5931,73358,1.1717,2011-08-28,Page Eight,6.574,323
5932,21159,1.1442,1964-05-06,The Last Man on Earth,6.574,472
5933,5206,0.4445,2006-12-08,The Boss of It All,6.6,310
5934,253306,2.7328,2014-09-04,Housebound,6.573,900
5935,51540,15.6921,2011-07-08,Horrible Bosses,6.573,6701
5936,9685,0.6232,2002-09-13,Igby Goes Down,6.573,343
5937,3049,5.1859,1994-02-04,Ace Ventura: Pet Detective,6.573,6254
5938,547565,1.7485,2021-07-15,The Night House,6.572,1278
5939,511785,0.9167,2018-04-16,Alex Strangelove,6.572,1566
5940,511785,0.9167,2018-04-16,Alex Strangelove,6.572,1566
5941,413644,4.9803,2017-07-26,The Son of Bigfoot,6.572,512
5942,967585,2.4484,2023-01-07,Alibi.com 2,6.571,472
5943,839369,13.6275,2023-11-16,May December,6.571,1002
